id,scenario,t,y,time
0,Base,0,0.9982057530593392,1970-01-01 00:00:00
1,Base,900,0.999752226291884,1970-01-01 00:15:00
2,Base,1800,0.9998866245250544,1970-01-01 00:30:00
3,Base,2700,0.9997599550762084,1970-01-01 00:45:00
4,Base,3600,0.9996779373877962,1970-01-01 01:00:00
5,Base,4500,0.9996288749576288,1970-01-01 01:15:00
6,Base,5400,0.999579248919161,1970-01-01 01:30:00
7,Base,6300,0.9997721044982248,1970-01-01 01:45:00
8,Base,7200,0.9995797471577746,1970-01-01 02:00:00
9,Base,8100,0.9992410152366772,1970-01-01 02:15:00
10,Base,9000,0.9995645410438682,1970-01-01 02:30:00
11,Base,9900,0.9994109804706128,1970-01-01 02:45:00
12,Base,10800,0.9993522982644804,1970-01-01 03:00:00
13,Base,11700,0.9993022649919532,1970-01-01 03:15:00
14,Base,12600,0.998942171050166,1970-01-01 03:30:00
15,Base,13500,0.9987126901630984,1970-01-01 03:45:00
16,Base,14400,0.9980683554378644,1970-01-01 04:00:00
17,Base,15300,0.9972783334353248,1970-01-01 04:15:00
18,Base,16200,0.9957122460157548,1970-01-01 04:30:00
19,Base,17100,0.9937110510357064,1970-01-01 04:45:00
20,Base,18000,0.9894243149621764,1970-01-01 05:00:00
21,Base,18900,0.978913335806893,1970-01-01 05:15:00
22,Base,19800,0.9550964362205621,1970-01-01 05:30:00
23,Base,20700,0.9294281323977568,1970-01-01 05:45:00
24,Base,21600,0.9235074459526462,1970-01-01 06:00:00
25,Base,22500,0.9260372036092848,1970-01-01 06:15:00
26,Base,23400,0.9265666151174476,1970-01-01 06:30:00
27,Base,24300,0.9267829169172894,1970-01-01 06:45:00
28,Base,25200,0.9262939409386446,1970-01-01 07:00:00
29,Base,26100,0.9265948163074642,1970-01-01 07:15:00
30,Base,27000,0.922244822095342,1970-01-01 07:30:00
31,Base,27900,0.9160198172256676,1970-01-01 07:45:00
32,Base,28800,0.9177673526014674,1970-01-01 08:00:00
33,Base,29700,0.9182766492279596,1970-01-01 08:15:00
34,Base,30600,0.9133945115125964,1970-01-01 08:30:00
35,Base,31500,0.9084563306883766,1970-01-01 08:45:00
36,Base,32400,0.9127553779855696,1970-01-01 09:00:00
37,Base,33300,0.9167635062722944,1970-01-01 09:15:00
38,Base,34200,0.9214856909497376,1970-01-01 09:30:00
39,Base,35100,0.9219033331362552,1970-01-01 09:45:00
40,Base,36000,0.9221763312206638,1970-01-01 10:00:00
41,Base,36900,0.9249249760427254,1970-01-01 10:15:00
42,Base,37800,0.9273223552928188,1970-01-01 10:30:00
43,Base,38700,0.925882379308268,1970-01-01 10:45:00
44,Base,39600,0.9257129635227028,1970-01-01 11:00:00
45,Base,40500,0.9245648596453672,1970-01-01 11:15:00
46,Base,41400,0.9259740214742452,1970-01-01 11:30:00
47,Base,42300,0.925166983721214,1970-01-01 11:45:00
48,Base,43200,0.9210841002101304,1970-01-01 12:00:00
49,Base,44100,0.920881902926728,1970-01-01 12:15:00
50,Base,45000,0.9171435392600736,1970-01-01 12:30:00
51,Base,45900,0.9150468161525046,1970-01-01 12:45:00
52,Base,46800,0.9139041189070476,1970-01-01 13:00:00
53,Base,47700,0.9135331580044609,1970-01-01 13:15:00
54,Base,48600,0.910093736609409,1970-01-01 13:30:00
55,Base,49500,0.9099804932541624,1970-01-01 13:45:00
56,Base,50400,0.906587588420796,1970-01-01 14:00:00
57,Base,51300,0.9100295196374596,1970-01-01 14:15:00
58,Base,52200,0.9073188462233228,1970-01-01 14:30:00
59,Base,53100,0.9073505249952178,1970-01-01 14:45:00
60,Base,54000,0.9048769348315556,1970-01-01 15:00:00
61,Base,54900,0.9032780924429248,1970-01-01 15:15:00
62,Base,55800,0.9020399602865904,1970-01-01 15:30:00
63,Base,56700,0.901260405641802,1970-01-01 15:45:00
64,Base,57600,0.9022593672447444,1970-01-01 16:00:00
65,Base,58500,0.9001928731734729,1970-01-01 16:15:00
66,Base,59400,0.9002187676728086,1970-01-01 16:30:00
67,Base,60300,0.9024330971405592,1970-01-01 16:45:00
68,Base,61200,0.9029993773195508,1970-01-01 17:00:00
69,Base,62100,0.9098952438158088,1970-01-01 17:15:00
70,Base,63000,0.9089637641253976,1970-01-01 17:30:00
71,Base,63900,0.9106018890235056,1970-01-01 17:45:00
72,Base,64800,0.9140222805099804,1970-01-01 18:00:00
73,Base,65700,0.9149556301475941,1970-01-01 18:15:00
74,Base,66600,0.9167235262341668,1970-01-01 18:30:00
75,Base,67500,0.9187701288448744,1970-01-01 18:45:00
76,Base,68400,0.923427877547923,1970-01-01 19:00:00
77,Base,69300,0.9212825265990672,1970-01-01 19:15:00
78,Base,70200,0.9202931874578586,1970-01-01 19:30:00
79,Base,71100,0.9164959180237312,1970-01-01 19:45:00
80,Base,72000,0.92105563230609,1970-01-01 20:00:00
81,Base,72900,0.9368745787564784,1970-01-01 20:15:00
82,Base,73800,0.9518536551859522,1970-01-01 20:30:00
83,Base,74700,0.9581140767085792,1970-01-01 20:45:00
84,Base,75600,0.9646708393694272,1970-01-01 21:00:00
85,Base,76500,0.9688635894788268,1970-01-01 21:15:00
86,Base,77400,0.9717340508249126,1970-01-01 21:30:00
87,Base,78300,0.9760878925897192,1970-01-01 21:45:00
88,Base,79200,0.9798743270584662,1970-01-01 22:00:00
89,Base,80100,0.9800635381132085,1970-01-01 22:15:00
90,Base,81000,0.9819980902344853,1970-01-01 22:30:00
91,Base,81900,0.9842520337592854,1970-01-01 22:45:00
92,Base,82800,0.9850133323734898,1970-01-01 23:00:00
93,Base,83700,0.9858530537872366,1970-01-01 23:15:00
94,Base,84600,0.9892149152278844,1970-01-01 23:30:00
95,Base,85500,0.991651016516158,1970-01-01 23:45:00
96,50% ACV,0,0.9987648692350274,1970-01-01 00:00:00
97,50% ACV,900,0.9997781417721926,1970-01-01 00:15:00
98,50% ACV,1800,0.999841351408812,1970-01-01 00:30:00
99,50% ACV,2700,0.9998848947504018,1970-01-01 00:45:00
100,50% ACV,3600,0.9998450351766924,1970-01-01 01:00:00
101,50% ACV,4500,0.9995943532749882,1970-01-01 01:15:00
102,50% ACV,5400,0.9999552809961716,1970-01-01 01:30:00
103,50% ACV,6300,0.9996837447541956,1970-01-01 01:45:00
104,50% ACV,7200,0.9994739162774132,1970-01-01 02:00:00
105,50% ACV,8100,0.9998242057471124,1970-01-01 02:15:00
106,50% ACV,9000,0.9998111867256414,1970-01-01 02:30:00
107,50% ACV,9900,0.999595330713624,1970-01-01 02:45:00
108,50% ACV,10800,0.9996084009410291,1970-01-01 03:00:00
109,50% ACV,11700,0.9997198115560332,1970-01-01 03:15:00
110,50% ACV,12600,0.9994410054830472,1970-01-01 03:30:00
111,50% ACV,13500,0.9990946303602614,1970-01-01 03:45:00
112,50% ACV,14400,0.999082839496859,1970-01-01 04:00:00
113,50% ACV,15300,0.998284447085489,1970-01-01 04:15:00
114,50% ACV,16200,0.9975132529298116,1970-01-01 04:30:00
115,50% ACV,17100,0.9957638986144426,1970-01-01 04:45:00
116,50% ACV,18000,0.9929527024392276,1970-01-01 05:00:00
117,50% ACV,18900,0.9844572670663486,1970-01-01 05:15:00
118,50% ACV,19800,0.9701628706291452,1970-01-01 05:30:00
119,50% ACV,20700,0.9514958699714972,1970-01-01 05:45:00
120,50% ACV,21600,0.9477365090908708,1970-01-01 06:00:00
121,50% ACV,22500,0.9507372439368332,1970-01-01 06:15:00
122,50% ACV,23400,0.9518361805426576,1970-01-01 06:30:00
123,50% ACV,24300,0.9526251374912332,1970-01-01 06:45:00
124,50% ACV,25200,0.9523769593199142,1970-01-01 07:00:00
125,50% ACV,26100,0.9520473149432572,1970-01-01 07:15:00
126,50% ACV,27000,0.9494775104527482,1970-01-01 07:30:00
127,50% ACV,27900,0.9463857374994002,1970-01-01 07:45:00
128,50% ACV,28800,0.9478388600559674,1970-01-01 08:00:00
129,50% ACV,29700,0.9475924719674726,1970-01-01 08:15:00
130,50% ACV,30600,0.9448263622375498,1970-01-01 08:30:00
