Iteration	bike_travel	bike_wait	car_travel	car_wait	freight_travel	freight_wait	pt_travel	pt_wait	ride_travel	ride_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
0	23508	0	149408	0	32440	0	81591	20607	31890	0	0	0	113182	0
1	23506	0	161406	0	33112	0	81507	22129	32352	0	0	0	113080	0
2	23505	0	158447	0	33459	0	81492	22777	32700	0	0	0	113068	0
3	23505	0	159199	0	33529	0	81504	23063	33028	0	0	0	113097	0
4	23504	0	159221	0	33755	0	81496	23271	33305	0	0	0	113031	0
5	23505	0	161813	0	34062	0	81495	23284	33516	0	0	0	113029	0
6	23503	0	160668	0	34216	0	81459	23461	33733	0	0	0	113000	0
7	23505	0	162535	0	34404	0	81474	23464	33890	0	0	0	113044	0
8	23506	0	164231	0	34595	0	81513	23585	34018	0	0	0	113056	0
9	23506	0	162637	0	34686	0	81520	23593	34093	0	0	0	113042	0
10	23504	0	164577	0	34895	0	81546	23493	34200	0	0	0	113090	0
11	23502	0	161637	0	34926	0	81511	23580	34315	0	0	0	113098	0
12	23504	0	165529	0	35195	0	81485	23600	34402	0	0	0	113107	0
13	23505	0	163322	0	35256	0	81460	23562	34451	0	0	0	113084	0
14	23505	0	163098	0	35278	0	81490	23581	34467	0	0	0	113118	0
15	23506	0	165603	0	35345	0	81466	23620	34568	0	0	0	113138	0
16	23505	0	173693	0	35628	0	81490	23631	34589	0	0	0	113121	0
17	23505	0	166004	0	35535	0	81511	23475	34663	0	0	0	113098	0
18	23505	0	167669	0	35711	0	81532	23579	34675	0	0	0	113134	0
19	23504	0	166609	0	35735	0	81544	23478	34742	0	0	0	113131	0
20	23504	0	169637	0	35927	0	81526	23519	34773	0	0	0	113159	0
21	23505	0	165449	0	35794	0	81521	23617	34823	0	0	0	113162	0
22	23506	0	166534	0	35902	0	81491	23603	34836	0	0	0	113103	0
23	23506	0	169554	0	36044	0	81508	23651	34851	0	0	0	113189	0
24	23505	0	170048	0	36123	0	81540	23582	34869	0	0	0	113209	0
25	23507	0	168543	0	36090	0	81485	23531	34916	0	0	0	113181	0
26	23506	0	171885	0	36256	0	81534	23631	34918	0	0	0	113148	0
27	23506	0	166486	0	36170	0	81563	23393	34942	0	0	0	113134	0
28	23506	0	165519	0	36174	0	81508	23434	34930	0	0	0	113141	0
29	23504	0	165311	0	36206	0	81527	23387	34930	0	0	0	113161	0
30	23505	0	167585	0	36261	0	81533	23314	34898	0	0	0	113138	0
31	23506	0	169038	0	36345	0	81535	23232	34891	0	0	0	113181	0
32	23507	0	167332	0	36281	0	81568	23224	34885	0	0	0	113227	0
33	23506	0	170513	0	36278	0	81565	23350	34849	0	0	0	113254	0
34	23506	0	171819	0	36522	0	81566	23191	34820	0	0	0	113248	0
35	23505	0	171066	0	36365	0	81570	23262	34880	0	0	0	113228	0
36	23505	0	168339	0	36421	0	81571	23108	34824	0	0	0	113187	0
37	23503	0	166249	0	36358	0	81574	23118	34851	0	0	0	113219	0
38	23505	0	165067	0	36341	0	81590	23241	34809	0	0	0	113205	0
39	23505	0	165963	0	36374	0	81581	23020	34824	0	0	0	113174	0
40	23506	0	165335	0	36381	0	81583	23096	34779	0	0	0	113206	0
41	23507	0	167726	0	36388	0	81554	22934	34777	0	0	0	113225	0
42	23507	0	168857	0	36528	0	81586	22990	34764	0	0	0	113277	0
43	23506	0	169341	0	36539	0	81545	22882	34739	0	0	0	113184	0
44	23507	0	168473	0	36749	0	81516	22933	34728	0	0	0	113207	0
45	23507	0	168167	0	36712	0	81541	22835	34670	0	0	0	113152	0
46	23505	0	170714	0	36540	0	81580	22955	34668	0	0	0	113182	0
47	23505	0	167944	0	36540	0	81575	22729	34619	0	0	0	113226	0
48	23503	0	175338	0	36567	0	81525	22822	34622	0	0	0	113169	0
49	23505	0	169291	0	36568	0	81553	22735	34610	0	0	0	113252	0
50	23504	0	167140	0	36563	0	81556	22735	34586	0	0	0	113258	0
51	23506	0	169899	0	36679	0	81541	22689	34573	0	0	0	113210	0
52	23506	0	174292	0	36670	0	81538	22646	34556	0	0	0	113199	0
53	23506	0	173319	0	36818	0	81518	22797	34561	0	0	0	113186	0
54	23505	0	192542	0	36931	0	81488	22682	34492	0	0	0	113165	0
55	23506	0	182229	0	36764	0	81519	22610	34515	0	0	0	113185	0
56	23505	0	180343	0	37038	0	81547	22619	34491	0	0	0	113241	0
57	23507	0	181841	0	36906	0	81535	22552	34471	0	0	0	113218	0
58	23507	0	178355	0	36958	0	81528	22600	34416	0	0	0	113214	0
59	23506	0	175989	0	36958	0	81532	22573	34420	0	0	0	113228	0
60	23506	0	173709	0	36831	0	81555	22528	34387	0	0	0	113213	0
61	23506	0	173378	0	36932	0	81544	22533	34361	0	0	0	113200	0
62	23504	0	167410	0	36594	0	81544	22533	34325	0	0	0	113220	0
63	23506	0	169935	0	36574	0	81540	22527	34310	0	0	0	113231	0
64	23506	0	166457	0	36463	0	81550	22465	34291	0	0	0	113185	0
65	23506	0	167553	0	36463	0	81540	22379	34322	0	0	0	113218	0
66	23506	0	163374	0	36370	0	81492	22356	34274	0	0	0	113180	0
67	23505	0	172214	0	36459	0	81534	22523	34275	0	0	0	113149	0
68	23506	0	171212	0	36772	0	81528	22296	34203	0	0	0	113171	0
69	23507	0	170133	0	36672	0	81527	22254	34211	0	0	0	113205	0
70	23506	0	168530	0	36605	0	81500	22353	34149	0	0	0	113211	0
71	23507	0	166088	0	36350	0	81497	22397	34141	0	0	0	113191	0
72	23506	0	168911	0	36553	0	81530	22238	34101	0	0	0	113217	0
73	23507	0	180911	0	37009	0	81503	22248	34094	0	0	0	113247	0
74	23506	0	188271	0	36970	0	81521	22294	34139	0	0	0	113211	0
75	23506	0	182339	0	37453	0	81546	22351	34121	0	0	0	113222	0
76	23506	0	179140	0	36734	0	81531	22178	34056	0	0	0	113153	0
77	23507	0	171033	0	36468	0	81521	22344	34051	0	0	0	113157	0
78	23507	0	168558	0	36458	0	81506	22282	34064	0	0	0	113144	0
79	23508	0	171368	0	36410	0	81518	22176	34017	0	0	0	113180	0
80	23508	0	170829	0	36487	0	81491	22318	34057	0	0	0	113175	0
81	23507	0	177775	0	36627	0	81536	22230	33985	0	0	0	113168	0
82	23506	0	189382	0	37044	0	81530	22171	34058	0	0	0	113238	0
83	23506	0	185360	0	36637	0	81505	22292	33940	0	0	0	113152	0
84	23503	0	170333	0	36416	0	81517	22264	33953	0	0	0	113161	0
85	23506	0	172667	0	36352	0	81530	22146	33874	0	0	0	113171	0
86	23505	0	175798	0	36326	0	81493	22219	33878	0	0	0	113128	0
87	23505	0	175905	0	36293	0	81488	22146	33836	0	0	0	113160	0
88	23505	0	175914	0	36309	0	81486	22283	33824	0	0	0	113168	0
89	23506	0	181564	0	36740	0	81486	22261	33872	0	0	0	113162	0
90	23506	0	175233	0	36233	0	81508	22206	33829	0	0	0	113129	0
91	23508	0	164840	0	36069	0	81515	22057	33818	0	0	0	113217	0
92	23506	0	170942	0	36168	0	81506	22150	33756	0	0	0	113140	0
93	23505	0	169166	0	36120	0	81526	22098	33806	0	0	0	113179	0
94	23505	0	171559	0	36163	0	81511	22198	33778	0	0	0	113087	0
95	23506	0	173959	0	36180	0	81501	21988	33757	0	0	0	113130	0
96	23507	0	169824	0	36224	0	81503	22043	33760	0	0	0	113087	0
97	23507	0	174795	0	36463	0	81509	22123	33754	0	0	0	113124	0
98	23506	0	178297	0	36379	0	81490	22133	33736	0	0	0	113127	0
99	23506	0	175124	0	36524	0	81508	22032	33732	0	0	0	113120	0
100	23508	0	172611	0	36164	0	81536	21998	33672	0	0	0	113102	0
101	23507	0	171233	0	36071	0	81513	22097	33671	0	0	0	113106	0
102	23506	0	177125	0	36177	0	81511	22054	33683	0	0	0	113150	0
103	23505	0	180870	0	36486	0	81508	22127	33667	0	0	0	113115	0
104	23506	0	175291	0	36008	0	81496	22028	33680	0	0	0	113103	0
105	23507	0	179276	0	36093	0	81466	22054	33629	0	0	0	113118	0
106	23507	0	175421	0	36596	0	81513	22109	33588	0	0	0	113165	0
107	23507	0	185095	0	36683	0	81483	22005	33573	0	0	0	113132	0
108	23508	0	189912	0	37362	0	81497	21948	33595	0	0	0	113129	0
109	23506	0	179103	0	36977	0	81466	22222	33575	0	0	0	113073	0
110	23507	0	165283	0	35787	0	81487	21978	33515	0	0	0	113131	0
111	23507	0	169548	0	35809	0	81499	22004	33541	0	0	0	113149	0
112	23507	0	162742	0	35621	0	81492	22120	33548	0	0	0	113146	0
113	23505	0	165961	0	35745	0	81489	22058	33466	0	0	0	113176	0
114	23507	0	168262	0	35802	0	81475	21981	33515	0	0	0	113149	0
115	23507	0	166178	0	35668	0	81456	22018	33505	0	0	0	113107	0
