Iteration	bike	car	freight	pt	ride	walk
0	265802	8560188	2236972	3533207	1919562	431110
1	265777	8571767	2245019	3527940	1923515	430724
2	265762	8584798	2251757	3526332	1928107	430678
3	265764	8592780	2257448	3526683	1931570	430787
4	265754	8598818	2262642	3525368	1934282	430534
5	265763	8604702	2266934	3524864	1936440	430525
6	265746	8611495	2271473	3523308	1939072	430416
7	265766	8616270	2275258	3523685	1941000	430582
8	265772	8619496	2278931	3525015	1942028	430627
9	265775	8622924	2281729	3525374	1942937	430573
10	265758	8627583	2285343	3526364	1944144	430756
11	265736	8629002	2288656	3525603	1945072	430786
12	265755	8631042	2291552	3524512	1945862	430822
13	265766	8633176	2293939	3523647	1946726	430734
14	265771	8634861	2295729	3524132	1947400	430863
15	265772	8636771	2297560	3522969	1948355	430942
16	265764	8637031	2299595	3523926	1948549	430877
17	265761	8637787	2301901	3524395	1949378	430790
18	265770	8638585	2303843	3524872	1949909	430926
19	265751	8639455	2304921	3525410	1950360	430915
20	265756	8641701	2306366	3524216	1950557	431023
21	265763	8640770	2308350	3524480	1950651	431030
22	265773	8640448	2309744	3523841	1950348	430805
23	265776	8642244	2311241	3524027	1950403	431134
24	265770	8640783	2312249	3524856	1950744	431206
25	265788	8641909	2312649	3522448	1950973	431101
26	265780	8642511	2313661	3524530	1951396	430978
27	265780	8642178	2314376	3525666	1950909	430924
28	265775	8643577	2315314	3523646	1950958	430952
29	265757	8643906	2315601	3524608	1951007	431026
30	265761	8643427	2316324	3524720	1951077	430941
31	265775	8643501	2316707	3525109	1950976	431105
32	265783	8643045	2316814	3526523	1950967	431280
33	265776	8642957	2317269	3525900	1950491	431381
34	265771	8642007	2318273	3526150	1949704	431360
35	265764	8642494	2319364	3527092	1949897	431281
36	265760	8643197	2319687	3527281	1949583	431123
37	265745	8642829	2319987	3527180	1950339	431246
38	265762	8643192	2320442	3527517	1949925	431192
39	265766	8641748	2321266	3527157	1949380	431076
40	265776	8640932	2321614	3526910	1948903	431197
41	265782	8640546	2321857	3525770	1948770	431267
42	265788	8638264	2322109	3527225	1948515	431465
43	265773	8637961	2322402	3525251	1948183	431113
44	265783	8637167	2323006	3525196	1948203	431199
45	265784	8636634	2323201	3525457	1948363	430993
46	265767	8634499	2323237	3526414	1947739	431108
47	265770	8636194	2323960	3526621	1947880	431273
48	265742	8632854	2323856	3525025	1947109	431056
49	265769	8634812	2324583	3526336	1947283	431371
50	265755	8633255	2324391	3527428	1946812	431396
51	265780	8633179	2324528	3526270	1946279	431213
52	265771	8632471	2325049	3526270	1946291	431170
53	265780	8632377	2324710	3525567	1946195	431120
54	265768	8630704	2325199	3524630	1946428	431041
55	265780	8631296	2324355	3526454	1945875	431118
56	265770	8629119	2324416	3527588	1945584	431329
57	265788	8632145	2324232	3527196	1946246	431242
58	265791	8628136	2324623	3526989	1944859	431230
59	265781	8628858	2324101	3527393	1945454	431280
60	265777	8629846	2324568	3527482	1945090	431222
61	265772	8631618	2324558	3527739	1945127	431175
62	265749	8630819	2323727	3527275	1944562	431249
63	265779	8630884	2323379	3527689	1944316	431290
64	265781	8628913	2323425	3527950	1944024	431118
65	265776	8629006	2323110	3528033	1943543	431241
66	265779	8626184	2323152	3525586	1943188	431097
67	265768	8625512	2322808	3526966	1942531	430980
68	265781	8624444	2323558	3527214	1942225	431064
69	265789	8627239	2323218	3527442	1942922	431193
70	265777	8624705	2323254	3526443	1942136	431218
71	265787	8625572	2322212	3526615	1942461	431142
72	265775	8623993	2322166	3527843	1942138	431240
73	265790	8624308	2321547	3526794	1942101	431353
74	265782	8622567	2322103	3527706	1941509	431215
75	265775	8626185	2322052	3528122	1943005	431256
76	265777	8623711	2321604	3527562	1941398	430993
77	265783	8624884	2320995	3526990	1941538	431009
78	265786	8624798	2320641	3526574	1941105	430961
79	265796	8622263	2320213	3527334	1940268	431097
80	265793	8622679	2320019	3526116	1940864	431079
81	265783	8621337	2319960	3527054	1939900	431050
82	265772	8621774	2320029	3527227	1940344	431317
83	265774	8619651	2319231	3527048	1939308	430989
84	265739	8619446	2318570	3527251	1939308	431025
85	265781	8620167	2317859	3528042	1938355	431062
86	265764	8620280	2318066	3526296	1938560	430897
87	265768	8619032	2317420	3526209	1938232	431019
88	265767	8617464	2316674	3525732	1937601	431052
89	265773	8618161	2316634	3526684	1938519	431028
90	265781	8617493	2316378	3527093	1937706	430903
91	265796	8616740	2315345	3527733	1937644	431238
92	265781	8615254	2315137	3527619	1936605	430942
93	265766	8614247	2315633	3528831	1937298	431092
94	265770	8614811	2315301	3527917	1936677	430743
95	265781	8613964	2314525	3526873	1936574	430905
96	265788	8614593	2314667	3527489	1936834	430741
97	265786	8615760	2314154	3528090	1936818	430884
98	265780	8612327	2313868	3527489	1936088	430893
99	265773	8615183	2313085	3528349	1936864	430870
100	265797	8614155	2312081	3529413	1936312	430798
101	265791	8613750	2312090	3527915	1936420	430812
102	265771	8614907	2311085	3527808	1935875	430981
103	265768	8613189	2310664	3528276	1935817	430848
104	265782	8613995	2310186	3527896	1936062	430802
105	265782	8614720	2309799	3526594	1935390	430859
106	265782	8612021	2309216	3528814	1934798	431042
107	265785	8614831	2309240	3527194	1935566	430917
108	265794	8614804	2308814	3527885	1936067	430904
109	265772	8617495	2309379	3526341	1936556	430689
110	265789	8617295	2308886	3527273	1934951	430908
111	265784	8617009	2308141	3527554	1935195	430979
112	265792	8616959	2307370	3527775	1934994	430965
113	265770	8614566	2307574	3527760	1933784	431082
114	265790	8615183	2306528	3527161	1934895	430977
115	265790	8614457	2306900	3526516	1934734	430817
116	265772	8613729	2306146	3528052	1934868	430988
117	265785	8611923	2305469	3527057	1933992	430812
118	265788	8612885	2305496	3527213	1934555	430833
119	265784	8614358	2305587	3527694	1934060	430760
120	265779	8614052	2304543	3527536	1933986	430777
121	265768	8613366	2304309	3527047	1933565	430733
122	265775	8613952	2304136	3528299	1933597	430812
123	265779	8611271	2303434	3528446	1932790	430831
124	265761	8611274	2303446	3527164	1932828	431002
125	265753	8610460	2303896	3526586	1932704	430734
126	265778	8611177	2302665	3526713	1933085	430775
127	265767	8611975	2301807	3527237	1933202	430678
128	265785	8608695	2302182	3527198	1932159	430822
129	265771	8608253	2301741	3528112	1932034	430852
130	265785	8606028	2300785	3526877	1931194	430867
131	265792	8606784	2300343	3525932	1931742	430629
132	265787	8605059	2300291	3526166	1930961	430759
133	265785	8605187	2299885	3527390	1931057	430860
134	265785	8603869	2299877	3526603	1930638	430790
135	265782	8603399	2299465	3526438	1930699	430795
136	265793	8601702	2299511	3527144	1930641	430562
137	265781	8602736	2298832	3526977	1930723	430948
138	265784	8604156	2298195	3526775	1931252	430845
139	265784	8604173	2297118	3527553	1930599	430870
140	265784	8602989	2297339	3526968	1930489	430756
141	265787	8604578	2296954	3527415	1930568	430797
142	265780	8605336	2296309	3527506	1930685	430867
143	265783	8603950	2296341	3528022	1930354	430669
144	265793	8605807	2295015	3527195	1930972	430937
145	265793	8604561	2294786	3527400	1930025	430907
146	265788	8606246	2293586	3527277	1930458	430801
147	265773	8605372	2293492	3527532	1929455	430813
148	265785	8609672	2293219	3528756	1931505	430834
149	265793	8609056	2293465	3526397	1930264	430724
150	265791	8608180	2292140	3528220	1931065	430785
151	265786	8606818	2291311	3526039	1930526	430756
152	265772	8608547	2291535	3525870	1931064	430676
153	265769	8606495	2290485	3526670	1929406	430798
154	265787	8609399	2290353	3528169	1930568	430839
155	265789	8606044	2289614	3527852	1929468	430787
156	265789	8607113	2289901	3526305	1929362	430575
157	265777	8603647	2289152	3526516	1929144	430565
158	265781	8603221	2289101	3527087	1928747	430693
159	265795	8603202	2289042	3526653	1929454	430738
160	265785	8601619	2288088	3526643	1928514	430780
161	265776	8602465	2287623	3526643	1929247	430735
162	265778	8599948	2287872	3526687	1928845	430765
163	265786	8600197	2286683	3526414	1928350	430726
164	265783	8601402	2286515	3525907	1928915	430671
165	265774	8600606	2286004	3525971	1927990	430718
166	265792	8600567	2285640	3526203	1927875	430643
167	265793	8599908	2285565	3527218	1927686	430692
168	265725	8598626	2285703	3526909	1927670	430624
169	265795	8598241	2284968	3526228	1927091	430598
170	265790	8597595	2284681	3526245	1927465	430596
171	265769	8596074	2283800	3525454	1927447	430566
172	265784	8595822	2283195	3526520	1927458	430711
173	265792	8595857	2283647	3526121	1927299	430555
174	265774	8595229	2282495	3527009	1927467	430584
175	265790	8593862	2282880	3526574	1927553	430696
176	265782	8592040	2282003	3527550	1926709	430673
177	265791	8592482	2281665	3526943	1926792	430575
178	265778	8594074	2281126	3526752	1927572	430778
179	265784	8592815	2280791	3526784	1926603	430651
180	265792	8594231	2279980	3526092	1926900	430595
181	265784	8592406	2279630	3525979	1926386	430656
182	265786	8591498	2279293	3526688	1926517	430594
183	265783	8590411	2278856	3526913	1926197	430606
184	265779	8590431	2278905	3527166	1925960	430735
185	265760	8588575	2278517	3527601	1925483	430621
186	265775	8587569	2278086	3526524	1925648	430456
187	265790	8585552	2277488	3526187	1925470	430477
188	265777	8585946	2277630	3526269	1925451	430540
189	265792	8584698	2276372	3526559	1925315	430727
190	265735	8584638	2277248	3526329	1924824	430613
191	265789	8583409	2276627	3525987	1924782	430435
192	265795	8582809	2276274	3527685	1924616	430493
193	265767	8581579	2275280	3525958	1924537	430520
194	265789	8581331	2275297	3526624	1924692	430606
195	265773	8579494	2274691	3525859	1924268	430532
196	265772	8578471	2274397	3524904	1923945	430453
197	265774	8577442	2274675	3526515	1923754	430547
198	265773	8576533	2273786	3524666	1923859	430437
199	265792	8576261	2273511	3525272	1923933	430413
200	265766	8576352	2273379	3526283	1923865	430562
201	265773	8574534	2273521	3523784	1923642	430301
202	265781	8574065	2273200	3525473	1923281	430518
203	265787	8573863	2273032	3526220	1923438	430541
204	265784	8573079	2271566	3526123	1923637	430567
205	265798	8572261	2271568	3526386	1923341	430586
206	265772	8572158	2270739	3526645	1923226	430611
207	265764	8571342	2271027	3525303	1922943	430487
208	265772	8570610	2271162	3525635	1922991	430459
209	265794	8569739	2271041	3526159	1922614	430550
210	265791	8568814	2270248	3527236	1922978	430614
211	265799	8568707	2269940	3526944	1922405	430545
212	265780	8567749	2270266	3526237	1922688	430243
213	265796	8567340	2269287	3527052	1922256	430470
214	265767	8565792	2269452	3525657	1922417	430419
215	265800	8565818	2268789	3524914	1922430	430390
216	265776	8566096	2268838	3525638	1922123	430390
217	265786	8565643	2268049	3525917	1922088	430374
218	265786	8565299	2267863	3525528	1921789	430443
219	265783	8564808	2267316	3526502	1921782	430488
220	265791	8564904	2266832	3525490	1922144	430368
221	265790	8564152	2266799	3527658	1921621	430526
222	265792	8563647	2266532	3526146	1921797	430558
223	265776	8562845	2266133	3526264	1921668	430574
224	265780	8562942	2266094	3526273	1921751	430556
225	265785	8562369	2265288	3527424	1921477	430435
226	265784	8561819	2265718	3526807	1921506	430347
227	265784	8561075	2265178	3525382	1921450	430526
228	265779	8561230	2265182	3526241	1921313	430485
229	265780	8560799	2264788	3525974	1921226	430260
230	265778	8559894	2264154	3525365	1921223	430453
231	265770	8559865	2263678	3526415	1921287	430523
232	265777	8559607	2264222	3526241	1921436	430358
233	265787	8559350	2263043	3526032	1921421	430360
234	265786	8558659	2263363	3525968	1921069	430437
235	265770	8558253	2263426	3526076	1921271	430472
236	265793	8557914	2262548	3524994	1921136	430366
237	265787	8557580	2262390	3525093	1921022	430427
238	265784	8557444	2262584	3526512	1921053	430514
239	265788	8557132	2262389	3525314	1921031	430408
240	265788	8557015	2262239	3526356	1921025	430424
241	265786	8557169	2262272	3524884	1920868	430182
242	265784	8556741	2261867	3525098	1920939	430407
243	265778	8556588	2261316	3524699	1920796	430284
244	265802	8556636	2254210	3531209	1920987	430823
245	265802	8556367	2253730	3531300	1920935	430836
246	265802	8556118	2253046	3531311	1920888	430842
247	265802	8555898	2252304	3531318	1920869	430850
248	265802	8555726	2251750	3531307	1920819	430849
249	265802	8555548	2251145	3531328	1920739	430846
250	265802	8555305	2250623	3531326	1920704	430851
251	265802	8555316	2250103	3531329	1920693	430844
252	265802	8555089	2249660	3531324	1920698	430848
253	265802	8554966	2249139	3531323	1920672	430847
254	265802	8554831	2248727	3531319	1920654	430845
255	265802	8554845	2248359	3531334	1920578	430842
256	265802	8554897	2247805	3531325	1920559	430846
257	265802	8554903	2247328	3531331	1920511	430843
258	265802	8554860	2246937	3531313	1920513	430842
259	265802	8554695	2246556	3531299	1920513	430843
260	265802	8554599	2246130	3531304	1920445	430843
261	265802	8554585	2245662	3531302	1920405	430844
262	265802	8554566	2245394	3531301	1920322	430842
263	265802	8554224	2245032	3531296	1920276	430842
264	265802	8554001	2244688	3531228	1920249	430838
265	265802	8553981	2244313	3531218	1920252	430839
266	265802	8553872	2243915	3531207	1920199	430837
267	265802	8553773	2243571	3531208	1920165	430834
268	265802	8553485	2243328	3531213	1920161	430835
269	265802	8553396	2242983	3531211	1920129	430834
270	265802	8553343	2242674	3531222	1920108	430832
