person_id,departure_time,from_x,from_y,to_x,to_y,simulated_travel_time,validated_travel_time,simulated_distance,validated_distance
200740,20419.0,372810.625,5672390.5,350740.61,5669930.2700000005,1678.0,1948.0,32602.08,32823.0
190651,57152.0,344991.655,5676700.8100000005,373840.165,5684007.405,2103.0,2590.0,37901.77,38769.0
233338,58328.0,344983.0,5699165.94,346609.7,5676324.57,1484.0,1608.0,26953.29000000001,26877.0
171984,38546.0,338352.735,5673173.0600000005,344512.89,5675703.99,832.0,886.0,8269.48,8071.0
33747,39302.0,339709.19999999995,5677057.100000001,340153.905,5678037.710000001,225.0,351.0,1995.4199999999996,2439.0
111866,62982.0,352959.635,5667530.850000001,352084.69,5671556.290000001,540.0,476.0,11033.55,5818.0
86497,51124.0,346054.775,5677516.3950000005,345472.67500000005,5676809.17,270.0,304.0,1632.77,1593.0
221129,38524.0,342671.82,5676196.94,328565.935,5679658.055,900.0,1213.0,21444.48,21900.0
46280,40030.0,346826.865,5679626.62,355407.92500000005,5670641.365,1530.0,1478.0,14269.000000000002,15056.0
27832,42352.0,348389.765,5674865.8950000005,343290.275,5680608.98,1008.0,1151.0,8704.369999999995,9323.0
90501,21626.0,348371.685,5672419.460000001,358756.83,5679880.210000001,1268.0,1275.0,18983.919999999995,23260.0
126719,58637.0,345420.1,5674824.930000001,346462.18000000005,5674267.290000001,408.0,632.0,2684.0499999999997,2627.0
13389,72785.0,345394.26,5676564.91,341856.635,5675321.49,582.0,612.0,5077.610000000001,4645.0
55706,77157.0,346829.68500000006,5680866.720000001,346713.595,5680464.705,78.0,99.0,618.61,632.0
58565,74017.0,344598.52,5682073.405,345850.105,5682900.61,194.0,246.0,1995.79,1962.0
95049,65177.0,344649.01,5677614.840000001,344336.77,5677187.505000001,160.0,661.0,1784.0600000000002,2779.0
264813,50311.0,351717.795,5644986.015000001,344189.53500000003,5683070.6,2983.0,2820.0,47931.460000000014,51213.0
128602,75075.0,345871.325,5677219.375,344892.83999999997,5676972.23,173.0,258.0,1396.6699999999998,1390.0
154420,50327.0,350090.76,5685154.48,342676.56000000006,5686087.635000001,962.0,861.0,8818.630000000001,8839.0
176745,21271.0,338828.39,5667920.83,345351.015,5676893.18,1579.0,1299.0,16213.890000000003,17590.0
240522,46809.0,339020.41500000004,5697810.970000001,344485.16500000004,5677027.325000001,2031.0,2183.0,32738.619999999995,37175.0
224197,36673.0,345974.995,5683659.09,347243.91500000004,5682543.9350000005,418.0,385.0,2929.67,2777.0
88023,63809.0,340835.865,5678316.07,338984.11,5677151.105,270.0,381.0,3013.56,2671.0
123769,72569.0,350572.11,5675810.885000001,353411.29000000004,5674356.960000001,482.0,534.0,4854.300000000001,4141.0
21933,49932.0,345394.65,5674966.775,344648.77,5674294.32,173.0,232.0,1423.3400000000001,1390.0
240004,66238.0,344669.06500000006,5673255.275,340238.69999999995,5699265.225000001,2725.0,2206.0,38622.11,53619.0
109866,61157.0,344357.385,5677544.640000001,350077.28,5671484.055000001,973.0,888.0,12116.4,12622.0
109232,82282.0,361448.26,5640607.880000001,350993.42500000005,5670344.285,2122.0,1918.0,36827.93999999998,42751.0
196748,55207.0,345262.945,5678477.620000001,344511.83999999997,5676655.955,607.0,573.0,4054.0800000000004,3949.0
67034,32888.0,356161.96499999997,5672151.065,345573.26,5679180.1,1413.0,1497.0,18336.280000000006,18703.0
239250,42626.0,351256.225,5670277.005000001,342405.59,5688202.11,2356.0,1966.0,23217.81000000001,26101.0
62343,71302.0,344763.22,5679612.5600000005,343917.24,5679981.890000001,143.0,212.0,1543.9999999999998,1625.0
193356,49142.0,345860.13,5679423.235,344336.77,5677187.505000001,338.0,964.0,3348.98,5706.0
21507,23180.0,346145.32,5673835.44,357576.25,5667275.590000001,1075.0,1254.0,20653.63,20234.0
243882,28989.0,345533.45,5692699.24,347268.66000000003,5673685.245000001,2077.0,1467.0,25874.379999999986,34942.0
201670,37725.0,344448.61,5682957.83,344210.355,5683059.025,188.0,223.0,984.51,1201.0
279827,47197.0,344618.93,5674047.960000001,344699.095,5677442.695,862.0,693.0,4488.869999999999,3932.0
228273,55372.0,347885.54500000004,5674496.040000001,356341.74,5725936.655000001,3103.0,3595.0,64813.61999999996,72865.0
272179,43944.0,363866.48,5657627.715000001,346942.58999999997,5678452.775,1972.0,2449.0,33282.66,35479.0
22884,58734.0,345950.55500000005,5684396.59,345961.03,5676297.445,1225.0,1260.0,11207.0,11541.0
